@image,Date,Work Title,Cat.,width,height,materials,Ownership,Price,Column2
C:\Users\Craig\Documents\GitHub\peterliddle.github.io\assets\artistswork\450\a-04.jpg,1962,River Barge,O,36,24,Oil on Board,Sold,,.jpg
C:\Users\Craig\Documents\GitHub\peterliddle.github.io\assets\artistswork\450\a-08.jpg,1962,Thames Bridge Fantasy ,O,48,36,Oil on Board,Available,,.jpg
C:\Users\Craig\Documents\GitHub\peterliddle.github.io\assets\artistswork\450\h-15.jpg,1963,Split Rocks,C,36,32,Oil on Board,Available,,.jpg
C:\Users\Craig\Documents\GitHub\peterliddle.github.io\assets\artistswork\450\i-35.jpg,1964,Moon Diptych,O,32,21,Oil on Board,Available,,.jpg
C:\Users\Craig\Documents\GitHub\peterliddle.github.io\assets\artistswork\450\i-37.jpg,1964,Sea Wall,C,36,24,Oil on Board,Available,,.jpg
C:\Users\Craig\Documents\GitHub\peterliddle.github.io\assets\artistswork\450\j-03.jpg,1965,Harbour Painting No.2,C,24,36,Oil on Board,Available,,.jpg
C:\Users\Craig\Documents\GitHub\peterliddle.github.io\assets\artistswork\450\j-05.jpg,1965,Harbour Painting No.4,C,36,24,Oil on Board,Sold,,.jpg
C:\Users\Craig\Documents\GitHub\peterliddle.github.io\assets\artistswork\450\j-12.jpg,1965,Harbour Painting Mevagissey,C,36,24,Oil on Board,Available,,.jpg
C:\Users\Craig\Documents\GitHub\peterliddle.github.io\assets\artistswork\450\j-16.jpg,1965,Tregardock Beach,C,48,30,Oil on Board,Available,,.jpg
C:\Users\Craig\Documents\GitHub\peterliddle.github.io\assets\artistswork\450\j-17.jpg,1966,South Cornish Coast,C,36,48,Oil on Board,Available,,.jpg
C:\Users\Craig\Documents\GitHub\peterliddle.github.io\assets\artistswork\450\j-18.jpg,1966,Celtic Wheel,O,36,48,Oil on Board,Available,,.jpg
C:\Users\Craig\Documents\GitHub\peterliddle.github.io\assets\artistswork\450\j-19.jpg,1966,Cornish Wheel,O,36,30,Oil on Board,Available,,.jpg
C:\Users\Craig\Documents\GitHub\peterliddle.github.io\assets\artistswork\450\k-04.jpg,1966,Harbour Painting No.15,C,36,24,Acrylic on board,Available,,.jpg
C:\Users\Craig\Documents\GitHub\peterliddle.github.io\assets\artistswork\450\k-35.jpg,1966,Perbargus Cove No.2,C,36,24,Acrylic on board,Available,,.jpg
C:\Users\Craig\Documents\GitHub\peterliddle.github.io\assets\artistswork\450\k-36.jpg,1966,Perbargus Cove No.5,C,36,24,Acrylic on board,Available,,.jpg
C:\Users\Craig\Documents\GitHub\peterliddle.github.io\assets\artistswork\450\k-37.jpg,1966,Perbargus Cove No.4,C,36,24,Acrylic on board,Available,,.jpg
C:\Users\Craig\Documents\GitHub\peterliddle.github.io\assets\artistswork\450\k-38.jpg,1966,Cliff Path,O,27,13,Acrylic on Canvas,Available,,.jpg
C:\Users\Craig\Documents\GitHub\peterliddle.github.io\assets\artistswork\450\k-46.jpg,1966,Causeway,C,,,Acrylic on Canvas,Sold,,.jpg
C:\Users\Craig\Documents\GitHub\peterliddle.github.io\assets\artistswork\450\k-47.jpg,1966,Harbour Painting,C,16,12,Acrylic on Board,Sold,,.jpg
C:\Users\Craig\Documents\GitHub\peterliddle.github.io\assets\artistswork\450\k-12.jpg,1967,Blue Flash,O,48,42,Acrylic on board,Available,,.jpg
C:\Users\Craig\Documents\GitHub\peterliddle.github.io\assets\artistswork\450\k-15.jpg,1967,Kick,O,24,36,Acrylic on board,Available,,.jpg
